,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.792,0.7,0.7,1.0,0.82
1,MIBNI,K-Means,0.625,0.8,0.78,1.0,0.88
2,MIBNI,Onestep,0.583,0.6,0.71,0.71,0.71
3,MIBNI,Elected,0.583,0.6,0.71,0.71,0.71
4,LogicGep,BASC A,0.875,0.5,0.67,0.57,0.62
5,LogicGep,K-Means,0.583,0.6,0.8,0.57,0.67
6,LogicGep,Onestep,0.583,0.6,0.71,0.71,0.71
7,LogicGep,Elected,0.583,0.6,0.71,0.71,0.71
8,Bestfit,BASC A,0.75,0.5,0.67,0.57,0.62
9,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
10,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
11,Bestfit,Elected,0.583,0.6,0.71,0.71,0.71
